iter	Passed	Remaining
217	39088	319524
218	39267	319343
219	39444	319144
220	39622	318953
221	39779	318591
222	39952	318368
223	40122	318116
224	40281	317773
225	40448	317502
226	40653	317530
227	40820	317251
228	40965	316814
229	41132	316541
230	41303	316300
231	41467	316008
232	41671	316024
233	41834	315727
234	42008	315510
235	42188	315340
236	42353	315059
237	42543	314961
238	42719	314768
239	42924	314778
240	43092	314521
241	43270	314336
242	43459	314230
243	43683	314377
244	43907	314519
245	44104	314466
246	44276	314237
247	44436	313920
248	44616	313745
249	44809	313669
250	44988	313482
251	45166	313297
252	45352	313165
253	45528	312966
254	45722	312888
255	45896	312666
256	46084	312547
257	46249	312275
258	46436	312144
259	46637	312115
260	46848	312144
261	47114	312537
262	47330	312599
263	47529	312539
264	47751	312638
265	47933	312470
266	48147	312510
267	48353	312495
268	48552	312432
269	48745	312332
270	48929	312177
271	49118	312049
272	49300	311872
273	49477	311672
274	49682	311646
275	49881	311576
276	50058	311376
277	50267	311367
278	50446	311176
279	50642	311087
280	50822	310903
281	51005	310737
282	51175	310490
283	51372	310407
284	51571	310334
285	51779	310317
286	51986	310290
287	52175	310151
288	52379	310106
289	52572	309994
290	52754	309819
291	52948	309709
292	53145	309623
293	53327	309445
294	53516	309305
295	53716	309232
296	53897	309047
297	54087	308918
298	54261	308689
299	54446	308532
300	54638	308405
301	54814	308196
302	54986	307961
303	55157	307722
304	55344	307572
305	55529	307409
306	55720	307281
307	55901	307093
308	56084	306923
309	56266	306744
310	56448	306562
311	56626	306363
312	56818	306236
313	56999	306056
314	57182	305878
315	57356	305660
316	57533	305451
317	57722	305313
318	57923	305231
319	58090	304973
320	58263	304749
321	58453	304610
322	58643	304475
323	58834	304342
324	59011	304136
325	59176	303871
326	59345	303623
327	59507	303342
328	59671	303074
329	59840	302828
330	60018	302629
331	60190	302404
332	60357	302148
333	60538	301969
334	60722	301797
335	60908	301644
336	61093	301477
337	61291	301382
338	61479	301230
339	61680	301147
340	61883	301071
341	62081	300966
342	62278	300860
343	62461	300687
344	62663	300604
345	62873	300556
346	63067	300434
347	63250	300259
348	63432	300078
349	63610	299878
350	63802	299742
351	64011	299691
352	64223	299650
353	64402	299453
354	64578	299245
355	64747	299001
356	64938	298860
357	65125	298706
358	65304	298510
359	65483	298313
360	65662	298117
361	65843	297933
362	66022	297739
363	66203	297553
364	66386	297374
365	66546	297096
366	66709	296830
367	66884	296618
368	67122	296683
369	67305	296507
370	67514	296445
371	67680	296192
372	67873	296059
373	68058	295890
374	68281	295885
375	68468	295723
376	68661	295590
377	68841	295398
378	69040	295290
379	69257	295255
380	69444	295091
381	69648	295002
382	69868	294978
383	70062	294846
384	70260	294727
385	70456	294604
386	70659	294507
387	70829	294270
388	71017	294112
389	71214	293986
390	71411	293864
391	71591	293669
392	71807	293623
393	71962	293328
394	72137	293117
395	72310	292894
396	72491	292703
397	72709	292664
398	72920	292593
399	73148	292592
400	73335	292428
401	73500	292172
402	73682	291988
403	73852	291753
404	74037	291578
405	74257	291542
406	74446	291385
407	74627	291191
408	74846	291152
409	75089	291202
410	75268	291000
411	75447	290802
412	75622	290587
413	75813	290435
414	76011	290307
415	76188	290103
416	76402	290034
417	76577	289823
418	76742	289569
419	76928	289397
420	77106	289196
421	77293	289027
422	77479	288853
423	77747	288984
424	77942	288844
425	78130	288677
426	78297	288433
427	78471	288217
428	78630	287944
429	78801	287717
430	78976	287504
431	79142	287258
432	79322	287064
433	79502	286869
434	79663	286605
435	79828	286358
436	79996	286118
437	80176	285927
438	80350	285711
439	80533	285527
440	80713	285334
441	80888	285121
442	81051	284870
443	81234	284686
444	81399	284439
445	81573	284225
446	81751	284026
447	81951	283904
448	82134	283722
449	82320	283549
450	82507	283378
451	82690	283195
452	82893	283083
453	83092	282954
454	83275	282770
455	83448	282553
456	83621	282338
457	83800	282142
458	83976	281934
459	84149	281717
460	84329	281525
461	84501	281305
462	84671	281081
463	84853	280892
464	85036	280712
465	85213	280511
466	85386	280294
467	85549	280047
468	85720	279823
469	85895	279617
470	86065	279392
471	86225	279137
472	86397	278918
473	86572	278711
474	86750	278513
475	86923	278301
476	87102	278108
477	87276	277897
478	87460	277718
479	87636	277515
480	87814	277317
481	87986	277101
482	88154	276873
483	88328	276666
484	88515	276498
485	88707	276344
486	88877	276121
487	89054	275922
488	89228	275714
489	89412	275536
490	89577	275301
491	89764	275131
492	89946	274947
493	90105	274694
494	90274	274471
495	90440	274238
496	90608	274014
497	90768	273765
498	90928	273515
499	91106	273318
500	91294	273155
501	91481	272985
502	91657	272785
503	91842	272612
504	92010	272387
505	92189	272196
506	92401	272100
507	92589	271936
508	92769	271746
509	92949	271558
510	93156	271446
511	93365	271344
512	93535	271125
513	93711	270923
514	93890	270733
515	94065	270528
516	94232	270302
517	94406	270097
518	94580	269891
519	94748	269667
520	94912	269433
521	95089	269237
522	95268	269046
523	95445	268851
524	95619	268646
525	95797	268452
526	95955	268200
527	96121	267975
528	96287	267747
529	96468	267563
530	96638	267349
531	96801	267114
532	96963	266877
533	97139	266678
534	97323	266502
535	97492	266285
536	97667	266083
537	97838	265872
538	98015	265678
539	98206	265521
540	98391	265348
541	98574	265170
542	98767	265017
543	98977	264909
544	99188	264807
545	99364	264608
546	99538	264405
547	99713	264204
548	99879	263979
549	100077	263841
550	100252	263640
551	100419	263420
552	100593	263216
553	100766	263011
554	100939	262806
555	101095	262558
556	101280	262383
557	101448	262165
558	101623	261967
559	101799	261770
560	101966	261551
561	102131	261325
562	102306	261127
563	102488	260946
564	102675	260778
565	102864	260615
566	103044	260427
567	103220	260231
568	103394	260031
569	103564	259820
570	103739	259621
571	103917	259429
572	104082	259208
573	104267	259033
574	104457	258873
575	104638	258690
576	104808	258478
577	104991	258301
578	105170	258112
579	105341	257904
580	105516	257708
581	105700	257531
582	105882	257351
583	106039	257110
584	106220	256926
585	106413	256773
586	106581	256558
587	106764	256379
588	106930	256160
589	107101	255953
590	107279	255764
591	107441	255536
592	107614	255335
593	107777	255109
594	107974	254965
595	108147	254762
596	108329	254584
597	108515	254412
598	108684	254202
599	108855	253995
600	109018	253771
601	109184	253553
602	109350	253337
603	109520	253130
604	109683	252906
605	109861	252717
606	110032	252512
607	110213	252330
608	110390	252138
609	110563	251940
610	110738	251743
611	110911	251543
612	111078	251330
613	111252	251133
614	111423	250929
615	111608	250756
616	111780	250556
617	111959	250368
618	112127	250157
619	112284	249923
620	112452	249713
621	112625	249514
622	112808	249336
623	112970	249113
624	113134	248895
625	113310	248703
626	113484	248507
627	113655	248304
628	113826	248101
629	114000	247905
630	114154	247666
631	114335	247486
632	114513	247298
633	114686	247101
634	114872	246930
635	115040	246723
636	115214	246527
637	115377	246306
638	115548	246105
639	115714	245893
640	115901	245725
641	116070	245519
642	116252	245342
643	116425	245145
644	116600	244951
645	116769	244745
646	116931	244526
647	117099	244318
648	117277	244131
649	117471	243979
650	117658	243811
651	117825	243603
652	118004	243418
653	118170	243207
654	118348	243021
655	118508	242798
656	118682	242603
657	118859	242416
658	119037	242228
659	119210	242033
660	119376	241822
661	119556	241641
662	119735	241458
663	119907	241260
664	120087	241077
665	120253	240868
666	120418	240656
667	120574	240426
668	120745	240227
669	120912	240019
670	121080	239814
671	121248	239610
672	121415	239404
673	121574	239179
674	121755	239001
675	121931	238812
676	122109	238628
677	122283	238435
678	122445	238218
679	122605	237998
680	122788	237823
681	122948	237604
682	123124	237416
683	123295	237218
684	123466	237019
685	123644	236835
686	123822	236651
687	123986	236438
688	124160	236247
689	124340	236066
690	124515	235877
691	124684	235674
692	124857	235482
693	125031	235290
694	125231	235147
695	125402	234949
696	125574	234754
697	125753	234570
698	125922	234371
699	126080	234149
700	126251	233951
701	126418	233748
702	126578	233530
703	126753	233341
704	126925	233146
705	127087	232933
706	127258	232737
707	127433	232548
708	127595	232335
709	127768	232142
710	127946	231958
711	128115	231759
712	128291	231572
713	128474	231398
714	128650	231211
715	128816	231006
716	128994	230821
717	129165	230626
718	129327	230416
719	129503	230228
720	129662	230012
721	129846	229839
722	130012	229635
723	130191	229453
724	130370	229272
725	130549	229090
726	130722	228898
727	130900	228715
728	131081	228539
729	131247	228334
730	131417	228137
731	131585	227936
732	131763	227754
733	131947	227582
734	132120	227390
735	132279	227174
736	132445	226973
737	132637	226813
738	132812	226625
739	132986	226436
740	133165	226255
741	133339	226066
742	133501	225855
743	133666	225652
744	133832	225449
745	134008	225263
746	134183	225076
747	134345	224867
748	134523	224684
749	134686	224478
750	134865	224297
751	135039	224107
752	135206	223907
753	135386	223729
754	135569	223555
755	135740	223361
756	135915	223174
757	136102	223006
758	136267	222802
759	136442	222617
760	136611	222419
761	136778	222219
762	136956	222038
763	137114	221824
764	137274	221613
765	137451	221430
766	137617	221228
767	137778	221019
768	137940	220812
769	138114	220625
770	138278	220419
771	138464	220251
772	138640	220067
773	138813	219878
774	138977	219673
775	139147	219480
776	139320	219290
777	139486	219090
778	139652	218890
779	139826	218703
780	140003	218520
781	140176	218330
782	140333	218116
783	140495	217911
784	140661	217712
785	140834	217522
786	141009	217337
787	141173	217134
788	141326	216915
789	141492	216716
790	141654	216511
791	141830	216327
792	142002	216137
793	142172	215945
794	142334	215739
795	142503	215545
796	142685	215370
797	142862	215188
798	143040	215008
799	143207	214810
800	143385	214630
801	143540	214416
802	143723	214243
803	143896	214054
804	144068	213866
805	144242	213678
806	144414	213489
807	144589	213305
808	144763	213119
809	144949	212949
810	145124	212766
811	145293	212571
812	145464	212382
813	145632	212187
814	145800	211992
815	145978	211811
816	146150	211623
817	146318	211428
818	146479	211223
819	146655	211041
820	146837	210866
821	147006	210674
822	147178	210484
823	147348	210294
824	147514	210096
825	147686	209908
826	147856	209716
827	148027	209526
828	148195	209332
829	148372	209151
830	148536	208952
831	148707	208762
832	148881	208576
833	149057	208394
834	149238	208218
835	149428	208055
836	149616	207890
837	149795	207711
838	149969	207525
839	150151	207352
840	150320	207159
841	150496	206977
842	150672	206794
843	150852	206617
844	151021	206425
845	151193	206237
846	151371	206057
847	151555	205887
848	151729	205701
849	151908	205522
850	152085	205341
851	152250	205144
852	152428	204965
853	152597	204774
854	152762	204576
855	152937	204392
856	153109	204204
857	153287	204025
858	153453	203830
859	153627	203645
860	153790	203447
861	153958	203254
862	154153	203096
863	154327	202911
864	154502	202728
865	154669	202535
866	154837	202342
867	155004	202149
868	155171	201955
869	155337	201760
870	155505	201567
871	155680	201385
872	155840	201182
873	156026	201014
874	156195	200823
875	156369	200638
876	156542	200453
877	156706	200256
878	156851	200034
879	157002	199821
880	157174	199634
881	157332	199431
882	157507	199247
883	157671	199051
884	157846	198869
885	158024	198690
886	158190	198496
887	158364	198311
888	158524	198111
889	158700	197930
890	158888	197763
891	159061	197578
892	159235	197395
893	159400	197200
894	159576	197018
895	159749	196834
896	159923	196650
897	160096	196465
898	160274	196287
899	160446	196100
900	160610	195905
901	160778	195714
902	160944	195521
903	161113	195332
904	161280	195140
905	161457	194960
906	161622	194766
907	161790	194576
908	161956	194382
909	162134	194205
910	162297	194008
911	162461	193813
912	162636	193631
913	162815	193455
914	162993	193275
915	163198	193130
916	163385	192962
917	163562	192783
918	163732	192595
919	163910	192416
920	164079	192227
921	164240	192029
922	164408	191839
923	164590	191665
924	164764	191483
925	164934	191296
926	165101	191104
927	165294	190943
928	165499	190796
929	165669	190608
930	165874	190461
931	166058	190290
932	166238	190114
933	166423	189944
934	166660	189832
935	166879	189700
936	167049	189513
937	167235	189343
938	167443	189198
939	167622	189020
940	167811	188854
941	167997	188685
942	168176	188507
943	168372	188348
944	168565	188186
945	168731	187995
946	168919	187827
947	169088	187638
948	169266	187460
949	169465	187303
950	169646	187128
951	169819	186944
952	169991	186758
953	170181	186592
954	170387	186445
955	170576	186278
956	170761	186107
957	170943	185932
958	171129	185761
959	171328	185605
960	171475	185393
961	171651	185211
962	171839	185044
963	172074	184926
964	172265	184761
965	172466	184606
966	172659	184443
967	172879	184309
968	173096	184171
969	173285	184004
970	173442	183802
971	173655	183660
972	173835	183483
973	174003	183292
974	174195	183128
975	174436	183015
976	174677	182901
977	174914	182784
978	175096	182608
979	175320	182476
980	175536	182336
981	175712	182153
982	175922	182006
983	176090	181816
984	176274	181643
985	176465	181476
986	176639	181292
987	176833	181128
988	177005	180943
989	177176	180755
990	177353	180575
991	177521	180385
992	177698	180203
993	177881	180029
994	178054	179844
995	178230	179661
996	178404	179478
997	178593	179309
998	178773	179131
999	178962	178962
1000	179137	178779
1001	179312	178597
1002	179479	178405
1003	179651	178220
1004	179825	178036
1005	180001	177853
1006	180200	177695
1007	180365	177502
1008	180536	177315
1009	180714	177136
1010	180888	176952
1011	181063	176769
1012	181245	176593
1013	181414	176405
1014	181575	176208
1015	181742	176018
1016	181899	175818
1017	182072	175634
1018	182240	175444
1019	182414	175261
1020	182593	175081
1021	182765	174896
1022	182932	174707
1023	183099	174516
1024	183270	174330
1025	183437	174140
1026	183635	173979
1027	183798	173786
1028	183973	173603
1029	184147	173420
1030	184323	173239
1031	184499	173057
1032	184662	172864
1033	184844	172688
1034	185047	172532
1035	185241	172367
1036	185430	172198
1037	185611	172021
1038	185787	171839
1039	185976	171670
1040	186155	171492
1041	186366	171342
1042	186550	171168
1043	186735	170995
1044	186935	170835
1045	187150	170689
1046	187348	170528
1047	187534	170355
1048	187702	170166
1049	187858	169967
1050	188037	169788
1051	188217	169610
1052	188388	169424
1053	188565	169243
1054	188733	169055
1055	188911	168875
1056	189085	168692
1057	189253	168503
1058	189445	168336
1059	189628	168161
1060	189808	167983
1061	189968	167787
1062	190143	167605
1063	190324	167428
1064	190496	167243
1065	190663	167053
1066	190830	166864
1067	190985	166665
1068	191166	166487
1069	191344	166308
1070	191508	166116
1071	191678	165930
1072	191857	165752
1073	192032	165570
1074	192204	165385
1075	192394	165216
1076	192569	165034
1077	192742	164850
1078	192887	164642
1079	193061	164459
1080	193232	164274
1081	193407	164092
1082	193572	163902
1083	193752	163724
1084	193919	163535
1085	194057	163322
1086	194228	163137
1087	194406	162958
1088	194586	162780
1089	194752	162591
1090	194922	162405
1091	195091	162218
1092	195249	162023
1093	195431	161847
1094	195598	161659
1095	195762	161468
1096	195922	161274
1097	196102	161096
1098	196271	160910
1099	196449	160731
1100	196594	160525
1101	196760	160336
1102	196937	160156
1103	197126	159986
1104	197285	159792
1105	197472	159620
1106	197636	159430
1107	197812	159249
1108	197988	159069
1109	198164	158888
1110	198356	158721
1111	198532	158540
1112	198708	158359
1113	198895	158187
1114	199073	158008
1115	199250	157829
1116	199431	157652
1117	199602	157467
1118	199787	157294
1119	199959	157111
1120	200128	156924
1121	200302	156743
1122	200470	156556
1123	200658	156384
1124	200822	156195
1125	200995	156012
1126	201175	155834
1127	201345	155650
1128	201512	155462
1129	201686	155280
1130	201854	155094
1131	202022	154907
1132	202201	154729
1133	202375	154547
1134	202546	154363
1135	202715	154177
1136	202875	153985
1137	203047	153802
1138	203221	153620
1139	203397	153440
1140	203569	153256
1141	203748	153078
1142	203911	152888
1143	204070	152696
1144	204235	152507
1145	204393	152314
1146	204566	152132
1147	204731	151943
1148	204904	151761
1149	205073	151575
1150	205252	151398
1151	205427	151217
1152	205593	151030
1153	205753	150838
1154	205919	150651
1155	206100	150474
1156	206288	150303
1157	206485	150138
1158	206641	149944
1159	206817	149764
1160	206988	149580
1161	207161	149398
1162	207329	149213
1163	207518	149042
1164	207683	148854
1165	207847	148665
1166	208014	148479
1167	208183	148295
1168	208374	148126
1169	208546	147943
1170	208721	147762
1171	208880	147571
1172	209049	147386
1173	209223	147204
1174	209402	147027
1175	209588	146854
1176	209768	146677
1177	209942	146496
1178	210104	146306
1179	210271	146120
1180	210435	145933
1181	210603	145747
1182	210766	145559
1183	210932	145372
1184	211107	145191
1185	211281	145011
1186	211451	144827
1187	211615	144639
1188	211783	144454
1189	211959	144274
1190	212128	144090
1191	212300	143908
1192	212477	143729
1193	212655	143551
1194	212823	143366
1195	212989	143180
1196	213153	142992
1197	213324	142809
1198	213515	142640
1199	213684	142456
1200	213853	142272
1201	214025	142090
1202	214202	141911
1203	214396	141744
1204	214574	141565
1205	214758	141391
1206	214945	141219
1207	215127	141043
1208	215273	140844
1209	215436	140656
1210	215617	140480
1211	215796	140303
1212	215966	140119
1213	216132	139934
1214	216302	139750
1215	216479	139572
1216	216654	139392
1217	216818	139205
1218	216990	139023
1219	217161	138840
1220	217328	138656
1221	217495	138470
1222	217664	138287
1223	217834	138104
1224	218003	137920
1225	218171	137736
1226	218351	137559
1227	218532	137383
1228	218726	137215
1229	218905	137038
1230	219069	136851
1231	219223	136658
1232	219393	136475
1233	219571	136297
1234	219752	136121
1235	219922	135939
1236	220090	135755
1237	220290	135590
1238	220491	135427
1239	220720	135280
1240	220939	135127
1241	221138	134962
1242	221338	134797
1243	221514	134617
1244	221746	134472
1245	221966	134320
1246	222210	134181
1247	222411	134017
1248	222576	133830
1249	222738	133642
1250	222872	133438
1251	223015	133239
1252	223151	133035
1253	223293	132836
1254	223444	132642
1255	223594	132447
1256	223734	132247
1257	223876	132048
1258	224011	131844
1259	224149	131643
1260	224279	131437
1261	224415	131235
1262	224563	131039
1263	224702	130839
1264	224839	130637
1265	224978	130437
1266	225114	130235
1267	225241	130028
1268	225370	129823
1269	225517	129628
1270	225649	129424
1271	225788	129224
1272	225925	129024
1273	226056	128819
1274	226182	128613
1275	226318	128412
1276	226458	128214
1277	226598	128015
1278	226741	127819
1279	226890	127625
1280	227023	127424
1281	227142	127213
1282	227281	127015
1283	227418	126816
1284	227560	126619
1285	227698	126420
1286	227842	126225
1287	227978	126025
1288	228119	125828
1289	228256	125629
1290	228384	125425
1291	228531	125232
1292	228679	125039
1293	228817	124841
1294	228956	124644
1295	229102	124450
1296	229242	124254
1297	229379	124055
1298	229514	123856
1299	229661	123663
1300	229801	123467
1301	229939	123270
1302	230083	123075
1303	230208	122871
1304	230345	122674
1305	230481	122476
1306	230611	122275
1307	230743	122075
1308	230885	121880
1309	231025	121685
1310	231158	121485
1311	231296	121289
1312	231429	121090
1313	231565	120893
1314	231702	120696
1315	231831	120496
1316	231971	120300
1317	232114	120107
1318	232244	119907
